Model has been successfully loaded from models/lrw_resnet18_mstcn_adamw_s3.pth.tar
----------
Epoch 0/79
Current learning rate: 0.0003
[ 6102/10493 (58%)]	Loss: 1.9067	Acc:0.5992	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.26
[ 6202/10493 (59%)]	Loss: 1.8951	Acc:0.6023	Cost time:0.175 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.26
[ 6302/10493 (60%)]	Loss: 1.8840	Acc:0.6045	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.26
[ 6402/10493 (61%)]	Loss: 1.8732	Acc:0.6067	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.26
[ 6502/10493 (62%)]	Loss: 1.8606	Acc:0.6097	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.26
[ 6602/10493 (63%)]	Loss: 1.8513	Acc:0.6118	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.27
[ 6702/10493 (64%)]	Loss: 1.8405	Acc:0.6149	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.27
[ 6802/10493 (65%)]	Loss: 1.8264	Acc:0.6183	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.27
[ 6902/10493 (66%)]	Loss: 1.8185	Acc:0.6202	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.27
[ 7002/10493 (67%)]	Loss: 1.8087	Acc:0.6227	Cost time:0.177 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.27
[ 7102/10493 (68%)]	Loss: 1.7997	Acc:0.6247	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.27
[ 7202/10493 (69%)]	Loss: 1.7883	Acc:0.6273	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.27
[ 7302/10493 (70%)]	Loss: 1.7801	Acc:0.6297	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.27
[ 7402/10493 (71%)]	Loss: 1.7696	Acc:0.6323	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.27
[ 7502/10493 (71%)]	Loss: 1.7620	Acc:0.6334	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.27
[ 7602/10493 (72%)]	Loss: 1.7506	Acc:0.6359	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[ 7702/10493 (73%)]	Loss: 1.7405	Acc:0.6378	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[ 7802/10493 (74%)]	Loss: 1.7312	Acc:0.6400	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[ 7902/10493 (75%)]	Loss: 1.7215	Acc:0.6426	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[ 8002/10493 (76%)]	Loss: 1.7111	Acc:0.6451	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[ 8102/10493 (77%)]	Loss: 1.7005	Acc:0.6478	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[ 8202/10493 (78%)]	Loss: 1.6957	Acc:0.6496	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[ 8302/10493 (79%)]	Loss: 1.6862	Acc:0.6522	Cost time:0.177 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[ 8402/10493 (80%)]	Loss: 1.6796	Acc:0.6539	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[ 8502/10493 (81%)]	Loss: 1.6719	Acc:0.6559	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[ 8602/10493 (82%)]	Loss: 1.6651	Acc:0.6571	Cost time:0.175 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[ 8702/10493 (83%)]	Loss: 1.6570	Acc:0.6590	Cost time:0.177 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[ 8802/10493 (84%)]	Loss: 1.6525	Acc:0.6601	Cost time:0.177 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[ 8902/10493 (85%)]	Loss: 1.6483	Acc:0.6609	Cost time:0.175 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[ 9002/10493 (86%)]	Loss: 1.6424	Acc:0.6624	Cost time:0.177 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
